停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,latitude,longitude
民營停車場,107068,臺南萬年六街停車場,臺南市南區臺南市南區萬年六街與萬年一街交叉路口,06-2210036,-1,0,149,3,3,3,0,0,22.932032,120.184744
民營停車場,107070,南科停車場,臺南市善化區臺南市善化區善新段299地號,971029139,-1,0,48,1,0,0,18,1,23.110159,120.302812
民營停車場,107073,新光三越百貨股份有限公司台南西門分公司二館停車場,臺南市中西區永福路1段189號地下4樓,06-303-0999,-1,0,212,5,4,1,0,0,22.987969,120.200007
民營停車場,107075,永康區農會停車場,臺南市永康區中正南路635號,06-232-1121,-1,0,12,1,0,0,7,1,23.025496,120.255012
民營停車場,107076,頑皮世界股份有限公司停車場,臺南市學甲區臺南市學甲區三慶里頂洲75-25號,06-7810326,-1,5,220,6,6,2,64,2,23.283586,120.208742
民營停車場,107077,思源停車場,臺南市安南區臺南市安南區安和路四段101巷,06-3561247,-1,0,15,1,1,1,0,0,23.053088,120.21774
民營停車場,107080,台糖長榮酒店（台南）第二停車場,臺南市東區臺南市東區中華東路三段401號(竹篙厝段4064地號),06-337-3880,-1,2,137,2,2,1,0,0,22.97309,120.220453
民營停車場,107083,Times台南府連路停車場,臺南市中西區臺南市東區府連路(龍泉段565地號),02-2504-6098,-1,0,21,1,1,1,0,0,22.98613,120.217316
民營停車場,107084,Times台南海安路一段停車場,臺南市中西區臺南市中西區海安路一段(保安段313地號),02-25046098,-1,0,14,1,1,1,0,0,22.98934,120.195295
民營停車場,107085,Times台南永康中正路停車場,臺南市永康區臺南市永康區中正路148巷,02-25046098,-1,0,43,1,1,1,0,0,23.0312,120.253589
民營停車場,107092,芝凡企業社停車場,臺南市新市區臺南市新市區富林路（新北段105、105-1地號）,0908-130338,-1,0,28,1,0,0,0,0,23.080612,120.290995
民營停車場,107100,詮營股份有限公司台南(二)收費處停車場,臺南市永康區臺南市永康區中華路893巷(頂南段463、708地號),02-27935818,-1,0,18,1,1,1,21,1,23.019082,120.223875
民營停車場,107104,助安168台南善化停車場,臺南市善化區臺南市善化區文賢街25號旁空地(善文段559、561地號),02-27546661,-1,0,26,1,1,1,0,0,23.130592,120.293599
民營停車場,107105,博客停車場開發股份有限公司燦坤鹽行場,臺南市永康區臺南市永康區中正北路45號旁(鹽新段1122、1123地號),02-29488889,-1,0,4,1,0,0,0,0,23.041635,120.23912
民營停車場,107106,臺南市永華國民運動中心停車場,臺南市中西區臺南市中西區中華西路二段30號(環河段2550地號),06-2986111,-1,0,81,2,2,1,115,3,22.989636,120.1882
民營停車場,107108,台灣聯通台南安平停車場,臺南市安平區臺南市安平區健康路三段(漁光段48-13、95-2地號),02-25235000,-1,0,164,4,4,4,0,0,22.984427,120.163343
民營停車場,107109,廷勝停車場,臺南市北區臺南市北區開元路485巷內(開元段588-35、588-78地號),932873368,-1,0,7,1,0,0,0,0,23.010761,120.224502
民營停車場,107110,泰豐停車場,臺南市仁德區中洲里307-2號,06-266-1144,-1,0,0,0,0,0,152,3,22.904892,120.252826
民營停車場,107114,安怡停車場,臺南市安南區臺南市安南區安中路1段560巷25號旁(怡中段1010、1011、1011-1地號),928679921,-1,0,11,1,0,0,0,0,23.041486,120.200338
民營停車場,107115,新東安臨時停車場,臺南市東區臺南市東區東安路32號(光明段575、576、577地號),985656060,-1,0,96,1,1,1,0,0,22.991875,120.226227
民營停車場,107116,Times台南永康永二街（月租）停車場,臺南市永康區臺南市永康區永二街258號旁(二王段1226、1228地號),0800-888-924,-1,0,23,1,1,1,0,0,23.018016,120.250224
民營停車場,107117,五都停車場車寶貝站,臺南市歸仁區臺南市歸仁區歸仁八路與高鐵二路交叉路口(武東段261-1地號),0929-910000,-1,0,135,3,3,1,0,0,22.927101,120.281072
民營停車場,108003,文慧停車場,臺南市關廟區花園一街80號旁(北花段994地號),07-722-0017,-1,0,3,1,0,0,0,0,22.961623,120.336446
民營停車場,108004,新光三越百貨股份有限公司台南中山分公司停車場,臺南市中西區中山路162號,06-226-6899,-1,0,268,7,5,1,0,0,22.994518,120.209903
民營停車場,108006,華成停車場,臺南市安平區臺南市安平區育平9街22巷(金華段54-20、54-21地號),06-2222449,-1,0,3,1,0,0,0,0,22.995908,120.175054
民營停車場,108007,高雄榮總臺南分院停車場,臺南市永康區臺南市永康區復興路427號旁(永中段479、480、487、488、497地號),06-3125101,-1,0,88,4,2,2,90,5,22.997604,120.240179
民營停車場,108016,高雄榮總臺南分院機車停車場,臺南市東區臺南市東區精忠段153-2地號(高雄榮總台南分院對面),06-3125101,-1,0,0,0,0,0,78,2,22.99801,120.239819
民營停車場,108018,土虱堀停車場,臺南市永康區臺南市永康區永大一路307號對面（文化段135地號）,939356943,-1,0,21,1,0,0,0,0,23.015416,120.253798
民營停車場,108019,德根停車場,臺南市永康區臺南市永康區文化街235巷3弄(大灣段6594、6594-1、6594-2、6594-3、6594-4、6594-5地號),912442870,-1,0,16,1,0,0,0,0,23.01477,120.255979
民營停車場,108021,新日進停車場,臺南市永康區臺南市永康區永和街與永和街100巷路口（永二段187、188、189、191地號）,921567152,-1,0,38,1,0,0,0,0,23.017993,120.255046
民營停車場,108022,Times台南文化二街停車場,臺南市東區臺南市東區文化二街(仁和段1290、1293、1293-1地號),02-2504-6098,-1,0,58,1,1,1,0,0,22.977948,120.23259
民營停車場,108023,安富農停車場,臺南市東區臺南市東區自由路三段155巷30號旁(虎尾寮段500-4、500-5、500-6、500-15、500-16、500-17地號共6筆土地),06-2515766,-1,0,46,1,0,0,0,0,22.981307,120.236274
民營停車場,108025,奇美醫療財團法人佳里奇美醫院停車場,臺南市佳里區臺南市佳里區興化里606號（興化段349、349-1、349-2、350、350-1、351、351-1、376、381、382地號),06-7263333#32141,-1,0,145,3,4,1,0,0,23.18291,120.183744
民營停車場,108029,科技部南部科學園區管理局台南科學園區第二期標準廠房附屬地下停車場,臺南市新市區臺南市新市區南科三路17號等地下1樓（新科段135地號）,06-2997788,-1,0,212,5,4,4,0,0,23.097548,120.281881
民營停車場,108034,鈦興停車場,臺南市中西區健康路1段390巷地下室,06-214-7465,-1,0,44,1,2,1,0,0,22.981965,120.198724
民營停車場,108038,阿福停車場,臺南市永康區臺南市永康區永勝街近文化路口（大灣段6562-1、6563-3地號）,932706799,-1,0,12,1,0,0,0,0,23.015346,120.255115
民營停車場,108039,中華路停車場,臺南市新營區臺南市新營區中華路5號空地（民權段69地號）,02-27785756,-1,0,8,1,0,0,0,0,23.305048,120.315582
民營停車場,108040,台灣聯通台南崇明停車場,臺南市東區臺南市東區崇明五街31號旁（竹篙厝段2089、2089-6地號）,02-25235000,-1,0,7,1,0,0,0,0,22.97994,120.216825
民營停車場,108042,奇美醫療財團法人柳營奇美醫院,臺南市柳營區太康村201號,06-622-6999,-1,0,296,8,6,1,0,0,23.290288,120.325346
民營停車場,108043,張瑞祥停車場,臺南市永康區臺南市永康區永大一路（大灣段6448、6448-1、6448-2地號）,928304282,-1,0,13,1,0,0,0,0,23.01706,120.25684
民營停車場,108046,阿凡達停車場,臺南市中西區臺南市中西區海安路二段306號旁（普濟段311地號）,987828828,-1,0,17,1,0,0,0,0,22.999153,120.198312
民營停車場,108048,龍昇停車場,臺南市歸仁區臺南市歸仁區歸仁大道與歸仁五路交叉路口（武東段130-2、131地號）,06-272-18660977-185-598,-1,0,154,3,3,3,0,0,22.929313,120.284886
民營停車場,108049,中正停車場,臺南市中西區中正路313號旁(府前段1269等地號),06-221-4597,-1,0,92,2,2,2,0,0,22.993467,120.195252
民營停車場,108051,盛川大橋停車場,臺南市永康區臺南市永康區臺鐵大橋站附近（六甲頂段519地號）,932495212,-1,0,0,0,0,0,35,1,23.019721,120.224587
民營停車場,108055,煙波大飯店停車場,臺南市中西區臺南市中西區永福路1段269號B1~B2（南門段704地號）,06-2156000,-1,0,121,6,3,1,103,6,22.989209,120.199897
民營停車場,108057,噗噗車棧-富農店,臺南市東區臺南市東區富農街一段131巷25弄(富農段911地號),06-3133099,-1,0,38,1,2,2,0,0,22.981733,120.233745
民營停車場,108058,全聯台南開元停車場,臺南市北區臺南市北區開元路153號,06-2092770,-1,0,12,1,1,1,0,0,23.006991,120.219087
民營停車場,108059,FOCUS停車場,臺南市中西區中山路166號,06-228-9846,-1,0,241,1,4,1,0,0,22.995827,120.21034
民營停車場,108062,百創中洲停車場,臺南市仁德區臺南市仁德區臺鐵中洲站旁（中洲東段1086地號）,903403680,-1,0,0,0,0,0,103,2,22.904451,120.252904
民營停車場,108063,五都停車場高鐵台南五站,臺南市歸仁區臺南市歸仁區歸仁十路與武當路口西北側(武東段264地號）,929910000,-1,0,267,6,6,1,79,2,22.926118,120.283402
民營停車場,108064,育平健康停車場,臺南市安平區臺南市安平區健康路三段與育平路交叉路口（金華段109地號）,07-5365807,-1,0,298,7,7,7,0,0,22.985336,120.166445
民營停車場,108066,五都停車場高鐵台南三站,臺南市歸仁區武當路與高鐵大道交叉口（武東段268地號）,929910000,-1,0,59,2,2,1,39,1,22.925039,120.283806
民營停車場,108067,Times台南崇明三街停車場,臺南市東區臺南市東區崇明三街近崇德路口（竹篙厝段1994、1994-33地號）,0800-888-924,-1,0,6,1,0,1,0,0,22.981051,120.2176
民營停車場,108068,Times台南東和路停車場,臺南市東區臺南市東區東和路93號對面（光明段6091地號）,0800-888-924,-1,0,10,1,0,1,0,0,22.998558,120.227979
民營停車場,108069,永華國平停車場,臺南市安平區臺南市安平區永華路二段與國平路交叉口（金華段93、93-1地號）,913551117,-1,0,261,6,6,6,0,0,22.990799,120.17081
民營停車場,108071,永固便利停車台南一站停車場,臺南市東區臺南市東區中華東路二段75號旁（虎尾寮段371-27、371-22地號）,06-2007163,-1,0,29,1,1,1,0,0,22.986293,120.233525
民營停車場,108072,Times台南文平路停車場,臺南市安平區臺南市安平區文平路545號旁（金華段5-1、5-2、5-40地號）,0935988924#9,-1,0,28,1,1,1,0,0,22.996401,120.178989
民營停車場,108075,地王停車場,臺南市中西區臺南市中西區民權路4段232號旁（成光段1504、1505、1509地號）,989451500,-1,0,27,1,0,0,0,0,22.999237,120.179904
民營停車場,108076,億載金城停車場,臺南市安平區臺南市安平區光州路3號（金城段41地號）,06-295-1504,-1,2,38,1,1,1,0,0,22.988582,120.160021
民營停車場,108078,台灣聯通台南裕農停車場,臺南市東區裕農路375號旁(新東段77，78，79地號),02-2523-5000,-1,0,139,3,3,1,0,0,22.987197,120.229929
民營停車場,108080,TIMES寶雅台南永康停車場,臺南市永康區中華路106號,02-2504-6098,-1,0,13,1,1,1,0,0,23.002719,120.235188
民營停車場,108083,噗噗車棧-中華店,臺南市永康區臺南市永康區中華路103號旁(兵南段254、263地號),,-1,0,101,2,2,2,0,0,23.001708,120.234861
民營停車場,108091,永固東寧停車場,臺南市東區臺南市東區東光路與東寧路口（東光段1002、1003地號）,06-2007163,-1,0,316,12,9,2,1057,26,22.990386,120.231433
民營停車場,108092,興來停車場,臺南市永康區臺南市永康區永二段1225、1225-27地號,955502848,-1,0,48,2,0,0,0,0,23.017729,120.251141
民營停車場,108093,六藝復興停車場,臺南市東區臺南市東區自由路三段376號旁（虎尾寮段480-57地號）,908482533,-1,0,25,1,1,1,0,0,22.98194,120.237316
民營停車場,109001,臺南市美術館停車場,臺南市中西區臺南市中西區忠義路二段1號(臺南市美術館2館B1、B2),06-2218881,-1,0,543,13,12,12,149,5,22.98999,120.20095
民營停車場,109002,崇信浮生六記地下一樓停車場,臺南市東區臺南市東區崇信街97號B1,910742403,-1,0,43,1,0,0,0,0,22.980216,120.227522
民營停車場,109003,台灣聯通民生停車場,臺南市中西區民生路2段279號,02-2523-5000,-1,0,132,3,2,1,0,0,22.996694,120.192082
民營停車場,109007,HotelA聖禾大飯店停車場,臺南市中西區臺南市中西區西門路二段23號B1~B2,06-2200988,-1,0,34,1,1,1,50,1,22.990961,120.197537
民營停車場,109008,南紡購物中心停車場,臺南市東區中華東路1段366號,06-236-6222,-1,0,1007,21,27,10,1958,40,22.989882,120.233606
民營停車場,109010,明德和平停車場,臺南市關廟區臺南市關廟區和平路與明德街口（南花段907、910地號）,928375896,-1,0,27,1,0,0,0,0,22.960101,120.33357
民營停車場,109014,和雲台南成功站停車場,臺南市北區臺南市北區成功路22巷3號（公園段629-2、765、765-7地號）,02-55890899,-1,0,45,2,1,1,0,0,22.999063,120.208996
民營停車場,109015,大集停車場,臺南市東區臺南市東區文化二街（仁和段158地號）,965709388,-1,0,4,1,0,0,0,0,22.975917,120.233461
民營停車場,109017,國立臺灣歷史博物館遊客停車場,臺南市安南區臺南市安南區長和路1段250號（和館段48地號部份）,02-89193669,-1,30,171,5,13,5,113,3,23.059165,120.231786
民營停車場,109021,Times台南慶東街停車場,臺南市中西區臺南市東區慶東街127巷7號旁（光華段771~775及777地號）,0800-888-924,-1,0,13,1,0,1,0,0,22.989897,120.215825
民營停車場,109022,楠西區都市計畫停二立體停車場,臺南市楠西區臺南市楠西區民生路12號,06-5751615,-1,0,38,1,1,1,96,2,23.176599,120.48591
民營停車場,109025,邵慈企業社停車場,臺南市中西區臺南市中西區觀亭街110號(觀音段67地號),06-225-7021,-1,0,19,1,0,0,0,0,22.997683,120.206074
民營停車場,109030,立暉東門停車場,臺南市東區臺南市東區東門路三段（虎尾段1103地號部份）,06-5702181,-1,0,87,3,2,2,0,0,22.976341,120.23814
民營停車場,109031,富星停車場,臺南市永康區臺南市永康區大同街6號對面（國聖段503、540、941地號）,912012321,-1,0,61,1,0,0,0,0,23.008398,120.271506
民營停車場,109032,承莉善化停車場,臺南市善化區臺南市善化區中山路377號,0968-805-889,-1,0,96,3,2,3,0,0,23.131771,120.291398
民營停車場,109035,ViViPARK永華八街停車場,臺南市安平區臺南市安平區永華八街330號旁（金華段60-1地號）,02-25683773,-1,0,5,1,0,0,0,0,22.996455,120.173083
民營停車場,109036,ViViPARK安平路一站停車場,臺南市安平區臺南市安平區安平路606巷9號旁（上鯤鯓段586、587、588、589、590、591、592地號）,02-25683773,-1,0,20,1,0,1,0,0,22.99931,120.169224
民營停車場,109037,ViViPARK安平路二站停車場,臺南市安平區臺南市安平區安平路606巷48號對面（上鯤鯓段490、490-2、490-3、491、491-1、491-2地號）,02-25683773,-1,0,25,1,0,0,0,0,23.000521,120.169844
民營停車場,109038,ViViPARK永華八街二站停車場,臺南市安平區臺南市安平區永華八街298號旁（金華段60-33至60-36地號）,02-25683773,-1,0,19,1,0,1,0,0,22.99625,120.172989
民營停車場,109039,新光三越(股)機車停車場,臺南市中西區北門路1段123巷56號,06-2266899,-1,0,0,0,0,0,128,3,22.994817,120.210246
民營停車場,109040,Times台南東門路二段第2停車場,臺南市東區臺南市東區東門路2段95號旁（東安段822、904、905、923、925、925-1、926、927地號）,0800-888-924,-1,0,30,1,1,1,0,0,22.985931,120.221482
民營停車場,109045,佳里新生停車場,臺南市佳里區臺南市佳里區新生路139號旁,966655666,-1,0,24,1,1,1,0,0,23.160301,120.177338
民營停車場,109046,台灣聯通台南東一停車場,臺南市東區東和路88號東側空地,02-2523-5000,-1,0,6,1,1,1,0,0,22.998593,120.226838
民營停車場,109050,Times台南民生路第2停車場,臺南市中西區臺南市中西區民生路2段59號旁,0800-888-924,-1,0,20,1,1,1,0,0,22.99487,120.197546
民營停車場,109051,台灣聯通台南東和停車場,臺南市東區東和路102號西側空地,02-2523-5000,-1,0,12,1,1,1,0,0,22.998513,120.227428
民營停車場,109052,臺南南一停車場,臺南市東區民族路一段與民族一街路口(育樂段857、860地號),0926-700388,-1,0,15,1,1,1,0,0,22.994189,120.215399
民營停車場,109057,玉井區農會停車場,臺南市玉井區臺南市玉井區中正路139號,06-5741215,-1,0,90,2,1,1,0,0,23.125309,120.462051
民營停車場,109058,馬雅各紀念大樓地下停車場,臺南市麻豆區麻豆區苓子林20號,06-5702228#1197,-1,0,48,2,1,1,0,0,23.180225,120.232857
民營停車場,109059,黃家停車場,臺南市永康區永康區勝華街與勝利街口東北側（兵北段288地號）,0910-831839,-1,0,41,1,0,0,0,0,23.006501,120.233034
民營停車場,109060,樂樂停車房東區仁和場,臺南市東區臺南市東區中華東路3段77巷24-1號旁,965667578,-1,0,45,1,1,1,0,0,22.978965,120.228298
民營停車場,109062,Times台南育平九街停車場,臺南市安平區臺南市安平區育平九街126號旁,809008924,-1,0,51,1,1,1,0,0,22.995241,120.172343
民營停車場,109067,南紡置地廣場停車場,臺南市東區中華東路1段358號,06-2366222,-1,0,495,14,23,10,0,0,22.992322,120.233323
民營停車場,109068,杉霖國安宜居停車場,臺南市安南區國安街210巷與國安街156巷51弄路口（國安段791-5至791-9地號）,913551117,-1,0,168,4,4,4,0,0,23.023425,120.185994
民營停車場,109069,Times台南北成路停車場,臺南市北區北成路50號旁（北安段1775地號）,809008924,-1,0,49,1,1,1,0,0,23.018898,120.210122
民營停車場,109077,及泰衛民二停車場,臺南市中西區臺南市中西區衛民街78號旁空地(青年段225、240地號),02-27546661,-1,0,7,1,0,1,0,0,22.993046,120.209807
民營停車場,109088,橋南停車場,臺南市鹽水區南門路14號,919251900,-1,0,10,1,0,0,0,0,23.315757,120.267109
民營停車場,109090,台灣聯通台南大德停車場,臺南市南區樹林街2段253號B1、B2,02-25235000,-1,0,39,1,1,0,0,0,22.985851,120.195874
民營停車場,109094,Times臺南一中體育館停車場,臺南市東區臺南市東區東寧路臺南一中體育館B1,809008924,-1,0,44,1,1,1,0,0,22.992383,120.218642
民營停車場,110001,台南市立醫院停車場,臺南市東區崇德路670號,06-2902505,-1,0,127,4,4,1,54,2,22.968726,120.226791
民營停車場,110003,長春停車場,臺南市新營區長春街154-2號西側,0933-690808,-1,0,5,1,0,0,0,0,23.301409,120.310874
民營停車場,110005,挺衛停車場,臺南市北區公園路798號B1,06-2525302,-1,0,27,1,1,1,0,0,23.011769,120.21217
民營停車場,110006,竑穗興濟二站停車場,臺南市中西區中成路32號（觀音段279、280地號）,06-2289846,-1,0,29,1,1,1,0,0,22.997492,120.205211
民營停車場,110007,Times台南民族路一段停車場,臺南市東區民族路1段17巷37號對面,809008924,-1,0,26,1,1,1,0,0,22.993686,120.215775
民營停車場,110009,臺南市美術館1館停車場,臺南市中西區南門路37號B1,06-2218881,-1,0,22,2,1,1,0,0,22.991101,120.205741
民營停車場,110010,崇明大樓室內停車場,臺南市東區崇明路268號地下一樓,0937-054734,-1,0,9,1,0,0,0,0,22.978115,120.219239
民營停車場,110011,竑穗家樂福中正店停車場,臺南市永康區中正南路358號2F,06-2289846,-1,0,121,5,4,3,0,0,23.03244,120.228038
民營停車場,110012,Times台南安平路停車場,臺南市安平區安平路606巷2號旁,809008924,-1,0,12,1,0,1,0,0,22.99939,120.169414
民營停車場,110013,永科停一停車場,臺南市永康區臺南市永康區永科環路397號（王行段9地號）,06-2026605,-1,0,61,3,2,1,21,1,23.04373,120.275045
民營停車場,110014,永科停二停車場,臺南市永康區臺南市永康區永科環路300號（王行段37地號）,06-2026605,-1,0,21,1,1,1,51,1,23.047566,120.278709
民營停車場,110015,永科停三停車場,臺南市永康區臺南市永康區永科一路19號（王行段110地號）,06-2026605,-1,0,56,2,2,1,42,1,23.044247,120.281664
民營停車場,110016,永科停四停車場,臺南市永康區臺南市永康區永科環路309號（王行段93地號）,06-2026605,-1,0,63,2,2,1,38,1,23.040586,120.274617
民營停車場,110017,永科停五停車場,臺南市永康區臺南市永康區永科三路77號（王行段116地號）,06-2026605,-1,0,60,2,2,1,56,1,23.041279,120.278343
民營停車場,110018,永科停六停車場,臺南市永康區臺南市永康區永科環路199號（王行段209地號）,06-2026605,-1,0,43,2,1,1,17,1,23.036258,120.275923
民營停車場,110019,永科停七停車場,臺南市永康區臺南市永康區永科東路3號（王行段148地號）,06-2026605,-1,0,44,2,1,1,41,1,23.036673,120.281754
民營停車場,110020,永科停八停車場,臺南市永康區臺南市永康區永科南路160號（王行段211地號）,06-2026605,-1,0,32,1,1,1,42,1,23.032983,120.276786
民營停車場,110021,長安停車場,臺南市安南區臺南市安南區鎮安一街（長安段1119地號）,915629999,-1,0,5,1,0,0,0,0,23.064826,120.198598
民營停車場,110022,蓮潭南街停車場,臺南市善化區台南市善化區蓮潭南街與月眉園路交叉口(善新段294地號),929634027,-1,0,40,1,0,0,0,0,23.110772,120.303818
民營停車場,110025,仁義停車場,臺南市仁德區台南市仁德區仁義路98巷(鍾厝段729、730地號),955667668,-1,0,54,1,0,0,0,0,22.967563,120.254952
民營停車場,110026,豐勝通運有限公司停車場,臺南市永康區台南市永康區復興路近國道一號高速公路(中45，56，57，61，62地號),06-3039996,-1,55,0,0,0,0,0,0,22.998611,120.246924
民營停車場,110027,臺南圖書總館地下停車場,臺南市永康區台南市永康區康橋大道255號B2,06-2087743,-1,0,108,3,3,3,173,4,23.024759,120.237668
民營停車場,110028,Times台南東區生產路停車場,臺南市東區生產路614號旁(德高段577、577-4地號),02-2504-6098,-1,0,72,1,1,1,0,0,22.965842,120.231489
民營停車場,110029,Times台南忠義府前停車場,臺南市中西區忠義路一段96號旁(南門段105、105-1、105-2、106、106-1地號),935988924,-1,0,17,1,1,1,0,0,22.988064,120.202056
民營停車場,110032,竑穗家樂福仁德店停車場,臺南市仁德區台南市仁德區中山路711號B2,06-2289846,-1,0,155,3,3,3,0,0,22.972758,120.246604
民營停車場,110033,春長停車場,臺南市永康區國光二街32號旁(大彎段7829、7832地號),06-271-6969,-1,0,21,1,0,0,0,0,23.002015,120.25895
民營停車場,110036,奇美醫療財團法人奇美醫院停車場,臺南市永康區中正南路52巷(頂南段598~602、604、607-1、607-2、608、610~615、616-1、617-1、618~620、798、799、802~805地號等26筆土地),06-243-2189,-1,0,231,6,4,1,861,23,23.020665,120.221036
民營停車場,110037,永康奇美醫院第三停車場,臺南市永康區臺南市永康區中正南路52巷82弄內(頂南段905、939、940、947、961地號),06-243-2189,-1,0,146,4,3,1,0,0,23.019841,120.218857
民營停車場,110040,Times台南樹林開山停車場,臺南市中西區台南市中西區樹林街二段92號旁空地(郡王祠段1402、1442、1443地號),02-2504-6098,-1,0,39,1,1,1,0,0,22.986574,120.208403
民營停車場,110041,台灣聯通台南樹林停車場,臺南市中西區樹林街二段290號西側空地（建興段6000-6地號）,02-2523-5000,-1,0,24,1,1,1,0,0,22.986522,120.201384
民營停車場,110042,竑穗成大醫院汽機車停車場,臺南市北區台南市北區小東路35號B1至B3,06-2289846,-1,0,424,10,9,9,477,9,23.001945,120.217756
民營停車場,110043,第五醫療大樓獎勵增設停車空間停車場,臺南市永康區臺南市永康區中華路901號第五醫療大樓1F、B1、B2（北區康祥段1、1-3、2地號）,06-2432189,-1,0,50,1,1,1,0,0,23.018818,120.221598
民營停車場,110045,圳南停車場,臺南市西港區台南市西港區中山路232之1號旁(港南段568、568-1至568-5地號共6筆土地),"9,337,318,540,933,090,000",-1,0,18,1,0,0,0,0,23.119877,120.203768
民營停車場,110046,永全停車場,臺南市永康區台南市永康區龍埔街近中山路口(四維段540地號),963066819,-1,0,17,1,0,0,0,0,23.035126,120.254403
民營停車場,110047,人上人停車場,臺南市東區長榮路2段60號(東安段247及655地號),06-511-8086,-1,0,25,1,1,1,0,0,22.988114,120.219378
民營停車場,110049,俥亭永康站前停車場,臺南市永康區台南市永康區永康火車站前東側(永康段33-4、33-5、33-6地號部份),06-2210036,-1,0,0,0,0,0,118,3,23.038631,120.254053
民營停車場,110051,育安停車場,臺南市安南區台南市安南區育安四街(新順段945、945-1地號),925106260,-1,0,20,1,0,0,0,0,23.047124,120.216991
民營停車場,110055,台灣大車位民生場停車場,臺南市中西區台南市中西區民生路二段300號旁(星鑽段755、756地號),908973688,-1,0,9,1,0,1,0,0,22.99731,120.1909
民營停車場,110056,中華世家停車場,臺南市北區台南市北區大武街541巷(康祥段140地號部份),06-2514905,-1,0,48,1,0,0,0,0,23.017716,120.220471
民營停車場,110057,南台街福太停車場,臺南市永康區台南市永康區南台街54巷159號對面(頂中段509地號),06-2550396,-1,0,17,1,0,0,0,0,23.023975,120.221835
民營停車場,110060,和館停車場,臺南市安南區環館路與環館五路交叉口（和館段27-1地號）,06-2289846,-1,60,279,6,6,6,0,0,23.063162,120.232351
民營停車場,110061,台灣聯通台南文賢停車場,臺南市北區文賢路1080巷40號對面（文元段840至843地號）,02-25235000,-1,0,12,1,0,1,0,0,23.015437,120.194679
民營停車場,110062,台灣聯通台南小東停車場,臺南市東區小東路190號旁空地（光明段6071-2地號）,02-2523-5000,-1,0,30,1,1,1,0,0,22.999756,120.227488
民營停車場,110063,台灣聯通台南赤崁停車場,臺南市中西區赤崁街61號旁（赤崁段162、163地號）,02-25235000,-1,0,1,1,0,1,0,0,22.998757,120.202583
民營停車場,110064,TimesUniqlo台南文賢路店平面停車場,臺南市北區文賢路996號,02-2504-6098,-1,0,45,1,1,1,0,0,23.012586,120.194221
民營停車場,110066,永固便利停車新凱旋停車場,臺南市東區臺南市東區東光路一段與凱旋路交叉口空地,06-2007163,-1,0,296,6,7,1,0,0,22.993337,120.22979
民營停車場,110070,永大一路251巷停車場,臺南市永康區永大一路251巷（大灣段6547地號）,928349010,-1,0,12,1,0,0,0,0,23.016189,120.255252
民營停車場,110071,和雲台南富農街停車場,臺南市東區富農街一段209號旁（富農段294地號）,02-55890899,-1,0,15,1,1,1,0,0,22.983683,120.235156
民營停車場,110072,五都停車場車寶貝二站,臺南市歸仁區高鐵二路與歸仁十路交叉口（武東段264-1地號）,929910000,-1,0,56,2,2,2,0,0,22.92559,120.281924
民營停車場,110073,五都停車場高鐵台南二站,臺南市歸仁區高鐵一路（武東段366-9至366-11地號）,923950000,-1,0,83,2,2,2,0,0,22.922345,120.282878
